Environment              	  Seed       Control  Tau    Error Q_bias    Episode  Reward  Gain   Feedback
Pendulum-v0                   341002883  kalman   0.5    0     0.2       47       -339    2.5531 0.0600
Pendulum-v0                   341002883  kalman   0.5    0     0.2       48       -223    2.5899 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       49       0       2.9093 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       50       0       2.8977 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       51       -113    2.7855 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       52       -231    2.7449 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       53       -236    2.7079 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       54       -234    2.7335 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       55       -119    2.8744 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       56       -115    2.7885 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       57       -121    2.7341 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       58       -119    2.5867 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       59       -124    2.6982 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       60       -246    2.5951 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       61       -243    2.5087 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       62       -244    2.5683 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       63       -118    2.8552 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       64       -124    2.8793 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       65       -128    2.7181 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       66       -1      2.7622 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       67       -332    2.5737 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       68       -123    2.5053 0.0750
Pendulum-v0                   341002883  kalman   0.5    0     0.2       69       -241    2.5891 0.0200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       70       0       2.8599 0.0550
Pendulum-v0                   341002883  kalman   0.5    0     0.2       71       -127    2.6494 0.0250
Pendulum-v0                   341002883  kalman   0.5    0     0.2       72       -242    2.6083 0.0450
Pendulum-v0                   341002883  kalman   0.5    0     0.2       73       -129    2.7377 0.0600
Pendulum-v0                   341002883  kalman   0.5    0     0.2       74       -128    2.7139 0.0450
Pendulum-v0                   341002883  kalman   0.5    0     0.2       75       -127    2.6730 0.0550
Pendulum-v0                   341002883  kalman   0.5    0     0.2       76       -125    2.7216 0.0500
Pendulum-v0                   341002883  kalman   0.5    0     0.2       77       -118    2.5319 0.0200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       78       -363    2.2308 0.0200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       79       -120    2.6260 0.0250
Pendulum-v0                   341002883  kalman   0.5    0     0.2       80       -249    2.4180 0.0300
Pendulum-v0                   341002883  kalman   0.5    0     0.2       81       -119    2.7480 0.0300
Pendulum-v0                   341002883  kalman   0.5    0     0.2       82       -492    2.3051 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       83       -504    2.1442 0.0200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       84       -122    2.7175 0.0350
Pendulum-v0                   341002883  kalman   0.5    0     0.2       85       -123    2.6697 0.0350
Pendulum-v0                   341002883  kalman   0.5    0     0.2       86       -114    2.3223 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       87       -1      2.4053 0.0250
Pendulum-v0                   341002883  kalman   0.5    0     0.2       88       -248    2.5517 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       89       -124    2.6172 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       90       -124    2.8555 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       91       -128    2.7216 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       92       -239    2.5901 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       93       -900    1.5947 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       94       -898    1.5416 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       95       -741    1.9687 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       96       -753    1.8642 0.0050
Pendulum-v0                   341002883  kalman   0.5    0     0.2       97       -878    1.9556 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       98       -123    2.4026 0.0000
Pendulum-v0                   800613187  kalman   0.5    0     0.2       0        -1106   2.5857 0.2750
Pendulum-v0                   800613187  kalman   0.5    0     0.2       1        -1174   2.9350 0.1400
Pendulum-v0                   800613187  kalman   0.5    0     0.2       2        -1030   2.9793 0.2450
Pendulum-v0                   800613187  kalman   0.5    0     0.2       3        -1401   2.9918 0.2450
Pendulum-v0                   800613187  kalman   0.5    0     0.2       4        -1424   2.9823 0.2200
Pendulum-v0                   800613187  kalman   0.5    0     0.2       5        -1633   2.9638 0.2100
Pendulum-v0                   800613187  kalman   0.5    0     0.2       6        -1397   2.9134 0.2200
Pendulum-v0                   800613187  kalman   0.5    0     0.2       7        -1356   2.7828 0.2150
Pendulum-v0                   800613187  kalman   0.5    0     0.2       8        -1078   2.5750 0.2150
Pendulum-v0                   800613187  kalman   0.5    0     0.2       9        -1069   2.4018 0.1750
Pendulum-v0                   800613187  kalman   0.5    0     0.2       10       -1520   2.5088 0.1400
Pendulum-v0                   800613187  kalman   0.5    0     0.2       11       -1264   1.9359 0.1450
Pendulum-v0                   800613187  kalman   0.5    0     0.2       12       -637    2.2093 0.1350
Pendulum-v0                   800613187  kalman   0.5    0     0.2       13       -593    2.1326 0.1450
Pendulum-v0                   800613187  kalman   0.5    0     0.2       14       -1585   2.1956 0.2150
Pendulum-v0                   800613187  kalman   0.5    0     0.2       15       -504    2.2261 0.1750
Pendulum-v0                   800613187  kalman   0.5    0     0.2       16       -1556   2.0077 0.1300
Pendulum-v0                   800613187  kalman   0.5    0     0.2       17       -1359   1.5000 0.1750
Pendulum-v0                   800613187  kalman   0.5    0     0.2       18       -1189   1.6399 0.1900
Pendulum-v0                   800613187  kalman   0.5    0     0.2       19       -670    1.8233 0.1250
Pendulum-v0                   800613187  kalman   0.5    0     0.2       20       -569    2.2286 0.1150
Pendulum-v0                   800613187  kalman   0.5    0     0.2       21       -944    1.6070 0.1050
